client_id,date_souscription,jour_souscription,secteur,pays,taille_entreprise,plan,anciennete_mois,sieges_souscrits,utilisateurs_actifs,taux_adoption_pct,connexions_30j,heures_usage_30j,fonctionnalites_total,fonctionnalites_utilisees,nb_integrations,derniere_connexion_jours,tickets_support_90j,delai_reponse_support_h,csat,retards_paiement_12m,revenu_mensuel_recurrent_eur,couleur_theme_interface,code_datacenter,groupe_experimentation,commentaire_csm,sante_compte_fin_periode,valeur_vie_client_eur,churn
CLI-000618,2024-12-29,dimanche, Finance ,Suisse,GE,Pro,1,267,106,39.7,16,7.9,16,8,0,0,1,13.7,3,2,5271.06,bleu,ap-s1,B,Suivi standard.,17,51867,1
CLI-004909,13 Aug 2024,mardi, Commerce ,France,TPE,Pro,6,6,1,16.7,1,0.1,16,0,2,4,0,2.7,4,2,90.0 €,bleu,us-e1,control,Faible adoption des sièges.,13,1033,1
CLI-000115,17/08/2023,jeudi,INDUSTRIE,France,PME, Business ,18,48,13,27.1%,5,0.9,26,7,9,14,1,5.7,,0,2117.68,bleu,ap-s1,A,,72,52095,0
CLI-000830,02 Mar 2024,samedi,Commerce,France, ETI ,Enterprise,11,147,79,53.7,28,"18,5",40,15,1,3,5,5.8,3,1,12258.83,clair,eu-w1,control,,55,643343,0
CLI-000107,14 Mar 2023,mardi,Éducation,France,TPE,Pro,23,3,2,66.7,57,39.7,16,6,5,2,1,"12,3",3,0,73.85,clair,eu-w1,control,,82,2907,0
CLI-002233,2024-06-05,mercredi,Finance,Canada,pme,pro,8,35,14,"40,0",14,2.1,16,7,5,3,4,14.6 h,3,3,816.11,sombre,ap-s1,control,,47,21415,0
CLI-004947,2025-01-04,samedi,INDUSTRIE,France,ge,BUSINESS,1,168,88,52.4,28,5.2,26,11,0,0,3,0.8,2,1,7388.29,violet,eu-w3,A,"Client insatisfait, risque de départ.",20,236278,1
CLI-001247,28/02/2024,mercredi,Éducation,France,ETI,starter,11,42,20,47.6,10,5.4,8,2,6,1,3,24.1,4,1,562.28,clair,ap-s1,A,"Compte engagé, ambassadeur potentiel.",50,5072,0
CLI-004959,29 Aug 2024,jeudi,tech,France,ge,Enterprise,5,136,110,80.9,39,3.6,40,11,0,1,0,4.7,3,2,"12064,03",violet,eu-w3,A,RAS.,56,98925,0
CLI-000692,07 Jan 2025,mardi, Éducation ,Espagne,tpe,Pro,1,4,2,50.0,21,6.7,16,7,0,1,2,"6,5",3,1,72.4,violet,ap-s1,A,,53,594,0
CLI-002448,2024-04-30,mardi,Tech,Espagne, ETI , Business ,9,184,77,41.8,19,4.7,26,15,3,0,5,10.3,1,2,9921.7,bleu,us-e1,A,Mécontentement exprimé au support.,8,122037,1
CLI-003079,02/12/2023,samedi,Industrie,Allemagne,ETI,PRO,14,121,98,81.0,71,"9,7",16,8,3,3,3,9.8,3,0,3289.48,bleu,ap-s1,A,Compte dans la moyenne.,29,37763,1
CLI-002633,02 Dec 2024,lundi,Tech,France,TPE,Pro,2,2,1,50.0,27,,16,5,0,0,1,12.0,5,2,45.66,bleu,ap-s1,control,Compte dans la moyenne.,37,412,0
CLI-004722,10 Mar 2024,dimanche,Industrie,France,TPE,Pro,11,8,4,50.0,24,11.4,16,5,3,0,9,13.2 h,3,1,"151,9",sombre,ap-s1,A,"Multiples tickets ouverts, friction élevée.",47,2242,0
CLI-002595,14 May 2024,mardi,COMMERCE,France, PME , Starter ,9,27,18,66.7,45,16.3,8,3,2,0,4,26.6,3,1,409.98,bleu,ap-s1,A,,6,17145,1
CLI-001960,15/12/2022,jeudi,,Allemagne,pme, Pro ,26,20,0,0.0,0,0.0,16,0,0,53,0,1.2,5,0,"567,89",sombre,us-e1,control,,69,10710,0
CLI-001887,08/10/2024,mardi,industrie,Espagne,PME,Business,4,27,16,59.3%,9,"4,0",26,5,2,2,2,8.5,4,1,,bleu,us-e1,B,Compte dans la moyenne.,62,4403,0
CLI-003759,15/07/2023,samedi,éducation,Canada, PME ,PRO,19,52,41,78.8,46,24.3,16,7,,0,5,14.5,3,0,1499.72,bleu,us-e1,A,RAS.,69,19676,0
CLI-000604,2024-08-13,mardi,Finance,France,TPE,Business,6,4,4,100.0%,123,"92,9",26,20,2,0,1,"7,5",4,1,214.32,vert,ap-s1,control,,55,18804,0
CLI-002077,08/08/2024,jeudi,Tech,,TPE,Pro,6,7,4,57.1%,10,6.4,16,7,4,4,2,14.2,,2,"169,59",sombre,eu-w3,A,Mécontentement exprimé au support.,47,4589,0
CLI-002683,14 Mar 2024,jeudi,,France, PME , Pro ,11,53,0,"0,0",0,"0,0",16,0,0,40,0,3.8,5,0,"1339,11",violet,eu-w3,control,Déploiement interne limité.,25,14275,1
CLI-000744,2024-05-27,lundi,commerce,Espagne,PME, Business ,8,21,5,"23,8",4,0.2,26,3,2,2,2,1.2,3,,950.18,vert,eu-w3,A,Faible adoption des sièges.,38,9350,0
CLI-000814,2024-05-31,vendredi,Éducation,France,PME,Pro,8,7,5,"71,4",44,28.2,16,9,1,1,0,5.6,5,0,180.29,bleu,eu-w1,control,,73,1626,0
CLI-000189,2023-11-11,samedi, Commerce ,Allemagne,PME,PRO,15,6,4,"66,7",40,20.8,16,6,3,0,2,,5,1,156.04,bleu,us-e1,B,Client très satisfait et actif.,66,3839,0
CLI-003067,25 Dec 2024,mercredi,Industrie,Allemagne,eti,Enterprise,1,43,13,30.2,6,4.0,40,25,0,1,2,1.4,2,0,4371.79 €,clair,eu-w1,A,,20,32264,1
CLI-001415,2024-10-26,samedi,Industrie,Allemagne,TPE,Pro,3,2,1,50.0,10,2.5,16,4,0,0,3,,2,2,45.51 €,bleu,us-e1,B,,38,411,0
CLI-002024,02 May 2024,jeudi,Finance,France,TPE, Starter ,9,2,1,50.0,16,6.4,8,4,,2,6,23.5,4,1,,clair,us-e1,B,Compte dans la moyenne.,50,728,0
CLI-004462,04 May 2023,jeudi, Commerce ,France, PME ,Business,21,35,23,65.7,18,"12,1",26,8,6,1,2,,3,0,1619.11,vert,ap-s1,B,,75,112852,0
CLI-004512,06/10/2023,vendredi,Tech,France,PME,starter,16,18,15,83.3,68,42.8,8,3,2,1,4,29.9,3,0,252.96,violet,eu-w1,B,,53,9334,0
CLI-002415,01/01/2024,lundi,INDUSTRIE,France,PME,Pro,13,30,8,,3,,16,4,2,30,2,10.9,4,0,721.48,clair,eu-w3,B,,53,5325,0
CLI-001170,06 Jul 2024,samedi,public,France,PME, Starter ,7,54,10,"18,5",1,0.1,8,0,5,11,1,18.5,4,0,"615,55",vert,eu-w3,B,,55,13628,0
CLI-002570,17/08/2023,jeudi,SANTÉ,France,eti,Business,18,134,103,76.9,54,32.7,26,9,3,1,3,6.7,3,0,6531.64 €,sombre,ap-s1,control,,75,192814,0
CLI-001260,2024-07-12,vendredi,Éducation,,TPE,Pro,7,2,2,100.0,78,49.9,16,9,1,5,3,17.4,3,0,57.9,clair,ap-s1,A,,48,4368,0
CLI-003900,17 Jul 2023,lundi,Santé,Belgique,ETI,Enterprise,19,123,101,,88,61.8,40,24,4,1,7,5.4,,0,11828.34,sombre,us-e1,A,Mécontentement exprimé au support.,67,387970,0
CLI-001946,15/12/2022,jeudi,Tech,Belgique,ge,pro,26,833,475,57.0,9,4.1,16,6,6,3,4,16.3 h,2,0,23825.28,bleu,eu-w3,B,,73,957300,0
CLI-001861,31/10/2024,jeudi,,Canada,PME,Pro,3,38,5,13.2,1,0.2,16,4,0,1,3,7.9,3,2,591.9,clair,ap-s1,A,,25,5339,1
CLI-001821,04/10/2023,mercredi,tech,France,TPE,PRO,16,11,9,81.8%,74,,16,12,0,0,1,6.7,,0,288.58,clair,ap-s1,A,,69,2130,0
CLI-004585,2024-04-11,jeudi, Éducation ,France,PME,BUSINESS,10,34,19,55.9,17,"10,1",26,16,3,3,3,7.0,,1,1742.7 €,violet,us-e1,control,,51,35725,0
CLI-001719,13/04/2023,jeudi,Tech,France, TPE ,Starter,22,5,1,"20,0",1,0.1,8,0,4,30,1,18.6,3,,62.0,sombre,us-e1,A,,55,1525,0
CLI-002211,2023-11-09,jeudi,Commerce,France,ETI,Business,15,30,0,0.0,0,0.0,26,0,0,103,2,4.0,4,0,1508.58,sombre,us-e1,B,Usage en forte baisse ce trimestre.,2,80407,1
CLI-001041,10 Jun 2024,lundi,INDUSTRIE,France,tpe,Starter,8,7,5,"71,4",15,8.4,8,4,,4,3,30.8,2,0,84.7,clair,eu-w1,control,"Client insatisfait, risque de départ.",1,1111,1
CLI-004313,2024-04-06,samedi,Tech,Canada,ETI,starter,10,102,0,"0,0",0,0.0,8,0,0,82,6,26.7 h,2,0,1103.52,sombre,eu-w1,control,"Compte peu actif, relance nécessaire.",0,24432,1
CLI-001782,2023-08-18,vendredi,Finance,France,ETI,Enterprise,18,112,52,46.4,13,2.0,40,20,3,0,1,2.1,2,0,8559.39,bleu,eu-w3,control,Mécontentement exprimé au support.,75,35093,0
CLI-002911,05 Dec 2023,mardi, Finance ,Suisse,tpe,enterprise,14,1,1,100.0,38,12.7,40,5,,1,0,0.5,4,1,75.37,violet,ap-s1,B,,70,494,0
CLI-002495,09/10/2023,lundi,Éducation,Suisse,pme,Pro,16,7,5,71.4,29,22.3,16,6,2,0,2,11.2,,0,"179,0",bleu,ap-s1,A,,79,4844,0
CLI-002615,13/12/2023,mercredi,Commerce,Espagne,eti, Business ,14,117,83,70.9,56,"46,8",26,11,0,0,4,8.5,2,0,6823.84,vert,eu-w3,control,,49,128698,0
CLI-001017,13/03/2023,lundi,Éducation,France, PME , Pro ,23,32,22,68.8,47,"19,8",16,5,7,1,0,6.8,4,0,1008.9,sombre,eu-w1,B,Client très satisfait et actif.,93,9100,0
CLI-004849,2023-09-30,samedi,Commerce,Belgique,PME,BUSINESS,16,36,6,16.7,1,"0,1",26,1,4,12,9,7.2,1,0,1249.04,clair,eu-w3,B,,53,5121,0
CLI-002030,2024-01-05,vendredi,PUBLIC,France,PME,Business,13,44,29,65.9,39,"20,4",26,13,,0,0,2.7,4,0,"2303,68",vert,eu-w1,A,RAS.,66,52892,0
CLI-003889,06/08/2023,dimanche,Tech,Belgique,pme,Business,18,36,20,,34,2.1,26,13,2,1,0,"3,8",4,0,1618.28 €,violet,eu-w3,control,,56,39810,0
CLI-002210,10 Nov 2024,dimanche,tech,Belgique,eti,BUSINESS,3,151,70,46.4%,20,5.3,26,10,0,0,6,"5,8",1,1,6011.36,bleu,ap-s1,control,,46,157738,0
CLI-001981,2024-03-30,samedi, Santé ,France,PME,Pro,10,26,7,26.9,10,8.6,16,7,3,1,0,,,0,717.44,bleu,eu-w1,A,,36,27650,1
CLI-003391,07 Mar 2024,jeudi,Tech,Belgique,TPE,Starter,11,1,1,"100,0",4,3.4,8,4,2,8,0,11.4 h,5,0,10.22,clair,us-e1,A,,68,300,0
CLI-001673,2023-06-17,samedi, Finance ,France,TPE,Starter,20,6,3,50.0,16,6.6,8,4,2,1,0,15.6 h,4,0,64.68,clair,us-e1,control,,65,2387,0
CLI-001254,2024-07-29,lundi,SANTÉ,France,PME, Business ,6,7,2,28.6,11,0.6,26,11,2,4,1,8.9,2,1,326.81,vert,eu-w1,B,"Client insatisfait, risque de départ.",13,4824,1
CLI-003005,19/05/2023,vendredi,ÉDUCATION,Belgique,tpe,Starter,21,2,1,50.0%,11,2.2,8,2,5,2,2,30.1,2,0,26.58,violet,eu-w1,control,,66,1373,0
CLI-002551,2024-03-13,mercredi,Commerce,France,PME,Pro,11,32,14,43.8,1,0.3,16,7,2,8,3,"13,6",4,0,"781,7",vert,eu-w1,control,,55,17307,0
CLI-003042,07/03/2024,jeudi,Santé,France,ETI, Starter ,11,209,98,"46,9",22,12.2,8,2,2,0,3,16.5,,2,2475.44 €,vert,us-e1,control,,25,66985,1
CLI-001556,2023-08-04,vendredi,,France, ETI ,business,18,114,49,43.0,26,18.4,26,14,5,0,5,9.3 h,2,,"5282,03",clair,us-e1,control,,55,138600,0
CLI-004148,05 Nov 2024,mardi,FINANCE,Espagne,GE,Enterprise,3,815,157,19.3,1,0.5,40,14,0,16,2,5.6,,,54582.34,bleu,ap-s1,control,Déploiement interne limité.,11,402818,1
CLI-004929,30 Jul 2024,mardi,ÉDUCATION,France,TPE,starter,6,7,5,71.4,48,"2,4",8,3,1,2,1,"34,3",3,1,"86,8",bleu,us-e1,control,,55,2135,0
CLI-001140,31 Jan 2024,mercredi, Commerce ,Suisse,PME,pro,12,36,18,50.0,11,"4,6",16,6,3,0,0,,4,0,"894,74",sombre,eu-w3,control,"Compte engagé, ambassadeur potentiel.",60,16875,0
CLI-001755,01 Apr 2024,lundi,tech,Espagne, TPE ,STARTER,10,8,3,37.5,8,4.6,8,2,2,0,1,,3,0,95.1,sombre,us-e1,control,,40,1092,0
CLI-001305,2025-01-08,mercredi,tech,Suisse,TPE,Starter,1,9,3,"33,3",12,0.6,8,4,0,6,3,"29,2",3,3,97.82,violet,us-e1,A,,30,1123,0
CLI-003366,20/05/2023,samedi,éducation,France,PME,Pro,21,54,18,33.3,1,"0,2",16,2,1,3,5,,4,0,"1516,96",violet,us-e1,B,,54,54732,0
CLI-000940,12 May 2023,vendredi,Éducation,France,pme, Pro ,21,35,10,"28,6",1,0.4,16,3,5,15,5,14.1,3,0,"955,72",violet,us-e1,A,Suivi standard.,70,20376,0
CLI-003031,2024-09-25,mercredi,Commerce,France,TPE,Starter,4,10,0,"0,0",0,0.0,8,0,0,78,0,,4,2,"118,43",sombre,ap-s1,control,"Compte peu actif, relance nécessaire.",0,2719,1
CLI-000246,2023-10-03,mardi,SANTÉ,Allemagne,tpe, Starter ,16,10,5,50.0,19,"12,8",8,2,3,1,2,,3,0,132.31,bleu,us-e1,A,,63,3363,0
CLI-004718,28/09/2024,samedi,commerce,France, PME ,Pro,4,50,37,"74,0",21,"7,4",16,5,0,2,0,,5,0,1333.62,sombre,ap-s1,A,Compte dans la moyenne.,52,37181,0
CLI-002225,2024-02-08,jeudi,finance,France,tpe, Starter ,12,7,3,"42,9",1,0.1,8,0,3,22,7,,,1,84.68,bleu,eu-w3,control,,0,903,1
CLI-003141,02 Apr 2024,mardi,Commerce,France,GE,ENTERPRISE,10,688,529,76.9,32,6.9,40,19,2,0,1,"4,4",4,,46638.01,clair,us-e1,control,Suivi standard.,57,382432,0
CLI-004803,2024-05-31,vendredi, Finance ,France, TPE ,STARTER,8,4,3,75.0,27,"13,1",8,4,1,1,0,17.6,3,1,37.59,sombre,eu-w3,A,,52,401,0
CLI-003869,12/10/2023,jeudi,Éducation,France,TPE,STARTER,16,2,1,"50,0",25,13.6,8,3,4,3,2,22.8,4,0,"18,63",bleu,ap-s1,control,,57,300,0
CLI-003939,25 Sep 2024,mercredi,Santé,Suisse,GE,BUSINESS,4,727,76,10.5,1,0.1,26,8,0,14,0,4.6,3,2,"31870,33",vert,eu-w3,control,,48,444272,0
CLI-000212,11 Nov 2023,samedi,Commerce,Suisse,PME,Pro,15,37,36,"97,3",75,,16,9,3,1,2,"13,6",4,1,887.36,clair,ap-s1,control,,73,11642,0
CLI-001360,2023-06-16,vendredi,Santé,Allemagne,TPE,Starter,20,2,1,50.0%,17,7.0,8,2,5,1,0,25.8,3,0,,violet,eu-w1,A,,64,586,0
CLI-001626,2024-03-07,jeudi,Industrie,Belgique,PME,Starter,11,38,16,42.1%,9,3.1,8,2,3,1,0,"9,2",5,0,"409,4",bleu,eu-w3,control,"Compte engagé, ambassadeur potentiel.",73,11078,0
CLI-004246,13/01/2024,samedi,SANTÉ,Suisse,PME,Pro,13,24,13,54.2,13,2.6,16,5,,1,12,"22,2",1,2,576.45,clair,us-e1,control,"Client insatisfait, risque de départ.",14,20326,1
CLI-002678,2024-08-25,dimanche,tech,France,PME,ENTERPRISE,5,26,22,84.6%,60,"26,6",40,23,0,1,2,2.8,4,1,2284.71,sombre,eu-w3,control,,55,7494,0
CLI-000199,04 Feb 2024,dimanche,,France,PME, Business ,12,24,5,20.8,1,0.4,26,5,6,21,0,0.5,4,1,944.61 €,clair,us-e1,B,Faible adoption des sièges.,70,28659,0
CLI-003393,14 Mar 2024,jeudi, Commerce ,France,PME,Pro,11,32,24,75.0%,50,27.9,16,6,3,0,1,10.4,5,0,1072.39,clair,eu-w3,control,"Compte engagé, ambassadeur potentiel.",68,54520,0
CLI-002214,2023-08-31,jeudi,Tech,Canada,TPE,Starter,17,10,5,"50,0",25,18.5,8,3,4,2,0,"20,5",4,0,114.63 €,violet,eu-w1,B,,59,2256,0
CLI-001349,2023-08-14,lundi,commerce,,PME,Pro,18,9,5,55.6,19,"3,7",16,8,4,0,2,6.6 h,4,0,258.67,sombre,ap-s1,A,Client très satisfait et actif.,70,7848,0
CLI-002182,21/05/2023,dimanche, Éducation ,Belgique,ETI,Business,21,217,113,52.1,33,9.0,26,11,7,1,4,4.6,3,0,10502.06,sombre,us-e1,B,Compte dans la moyenne.,70,103340,0
CLI-002489,11/03/2023,samedi,Finance,France,ge,Pro,23,814,285,,1,"0,5",16,3,6,30,1,14.7,3,0,"20767,02",clair,ap-s1,B,Compte dans la moyenne.,56,306521,0
CLI-002384,17/03/2023,vendredi,COMMERCE,France,TPE,BUSINESS,23,1,1,100.0%,10,,26,7,4,4,1,3.6,3,0,35.77 €,vert,eu-w3,A,RAS.,78,557,0
CLI-003396,2024-07-26,vendredi,Tech,France,PME,ENTERPRISE,6,52,0,0.0,0,0.0,40,0,0,60,0,0.5,5,0,"2524,44",bleu,eu-w1,B,,14,24840,1
CLI-001672,27/11/2024,mercredi, Industrie ,France,ETI,Business,2,103,22,21.4,1,0.3,26,2,0,8,2,5.9,4,0,5256.39,violet,ap-s1,control,Faible adoption des sièges.,20,21551,1
CLI-001784,2024-12-27,vendredi,Commerce,France,TPE,Pro,1,7,5,71.4%,44,20.8,16,7,0,0,4,11.6,3,,142.55,vert,eu-w1,control,,14,701,1
CLI-000979,29 Nov 2024,vendredi,Tech,France,PME, Starter ,2,8,8,100.0,117,"97,6",8,6,0,1,6,41.2,3,2,105.88 €,bleu,eu-w3,control,RAS.,8,3386,1
CLI-000569,15/12/2023,vendredi,TECH,Belgique,PME,STARTER,14,10,2,"20,0",5,"1,1",8,1,3,2,1,20.0,,0,"131,82",bleu,eu-w3,control,,71,2378,0
CLI-002220,2024-10-30,mercredi,Éducation,Espagne, PME , Business ,3,27,0,"0,0",0,"0,0",26,0,0,32,2,10.6 h,3,,,bleu,eu-w1,A,Déploiement interne limité.,4,11376,1
CLI-004258,05/12/2022,lundi,PUBLIC,France,TPE, Pro ,26,1,1,100.0,55,"28,6",16,6,6,0,4,13.5,3,0,"26,19",bleu,ap-s1,B,,85,472,0
CLI-003022,2023-07-04,mardi,Industrie,France,PME,starter,19,53,34,64.2,8,0.4,8,2,3,5,0,9.8,5,,724.82,violet,us-e1,control,,74,60624,0
CLI-002375,12 May 2024,dimanche,Finance,Suisse,TPE,Pro,9,5,4,80.0,33,6.4,16,6,3,0,0,12.2,5,0,143.26,vert,us-e1,B,,82,5991,0
CLI-001113,04 Nov 2023,samedi,Tech,Allemagne,TPE,Pro,15,3,1,"33,3",8,3.6,16,5,3,7,3,14.8,3,,87.41,sombre,us-e1,B,,59,4731,0
CLI-001779,2023-07-15,samedi, Finance ,France, TPE ,Starter,19,4,3,"75,0",55,37.4,8,4,3,1,0,22.4,4,0,56.1,clair,ap-s1,B,"Compte engagé, ambassadeur potentiel.",66,2622,0
CLI-002959,05 Jan 2025,dimanche,FINANCE,France,ETI,Starter,1,197,119,60.4,41,29.8,8,5,0,2,4,37.1,1,2,,clair,eu-w1,A,,0,11345,1
CLI-002592,18/08/2023,vendredi,TECH,Belgique,TPE, Starter ,18,3,2,66.7,22,4.6,8,4,5,3,1,16.4,4,0,36.5,vert,us-e1,control,"Compte engagé, ambassadeur potentiel.",68,1197,0
CLI-000967,2024-02-07,mercredi,Tech,Canada,TPE,Starter,12,1,0,0.0,0,0.0,8,0,0,34,7,"32,4",3,0,10.82,bleu,us-e1,A,,1,300,1
CLI-002730,10 Mar 2024,dimanche,Éducation,Allemagne,PME,BUSINESS,11,39,30,"76,9",57,30.5,26,18,3,1,3,8.6,2,1,"1956,77",vert,eu-w3,control,,59,19255,0
CLI-004757,2024-11-02,samedi, Commerce ,,TPE,Business,3,1,1,100.0,44,22.0,26,17,1,1,2,11.0,3,0,38.45,vert,eu-w1,B,,60,1324,0
CLI-001182,07 Jun 2023,mercredi,Finance,France,pme, Starter ,20,6,5,83.3%,82,47.1,8,5,1,0,0,,5,0,83.89 €,vert,eu-w3,A,,64,2820,0
CLI-002780,31 Mar 2024,dimanche,Tech,Suisse, TPE ,Starter,10,5,1,20.0,13,3.5,8,4,0,7,6,38.7,2,3,43.47,bleu,eu-w1,A,,3,300,1
CLI-003750,13 Nov 2023,lundi, Commerce ,France, TPE ,STARTER,15,11,3,27.3,1,,8,1,2,23,3,29.1,2,,128.94,violet,ap-s1,A,,55,740,0
CLI-001707,2024-09-03,mardi,,France,PME,Business,5,26,5,19.2%,1,0.3,26,7,0,1,1,3.2 h,4,,"1086,88",violet,eu-w3,control,Déploiement interne limité.,23,15151,1
CLI-004049,07/01/2025,mardi,COMMERCE,France,TPE,Starter,1,7,5,"71,4",31,7.8,8,3,0,0,0,10.7,5,4,72.84,clair,eu-w1,B,RAS.,50,2927,0
CLI-002390,01/11/2024,vendredi, Industrie ,Suisse, TPE ,Starter,3,5,2,"40,0",28,23.3,8,4,0,2,0,18.2,5,0,67.68,violet,us-e1,B,,59,1054,0
CLI-003267,14 Sep 2023,jeudi,Public,France,pme,Business,17,56,0,0.0,0,"0,0",26,0,0,58,2,5.3,2,0,"2318,13",vert,ap-s1,A,,50,17108,0
CLI-002800,2023-03-19,dimanche, Santé ,Espagne, TPE ,Starter,23,9,0,0.0,0,"0,0",8,0,0,62,5,34.7,3,0,106.41,sombre,eu-w3,control,Usage en forte baisse ce trimestre.,0,1309,1
CLI-001146,2024-01-09,mardi,Éducation,Espagne,ETI,ENTERPRISE,13,219,122,"55,7",1,"0,1",40,5,,10,4,"6,9",4,0,17232.53,vert,ap-s1,B,RAS.,53,423920,0
CLI-003000,14 Dec 2023,jeudi, Santé ,France, PME ,pro,14,50,23,46.0%,17,"2,6",16,6,1,5,2,14.4,4,,1085.29,vert,eu-w1,control,RAS.,43,40937,0
CLI-004228,2024-05-10,vendredi, Tech ,France,ETI,Business,9,213,31,14.6%,1,0.1,26,8,1,29,0,5.9 h,4,0,"9958,24",sombre,us-e1,A,,23,383791,1
CLI-002226,2023-12-01,vendredi,,France,PME,PRO,14,39,12,30.8,8,3.9,16,2,2,1,8,13.8,3,0,1120.5,violet,eu-w3,control,"Multiples tickets ouverts, friction élevée.",60,60641,0
CLI-000056,12/07/2024,vendredi,Finance,Suisse,PME,Pro,7,39,18,46.2%,16,"8,7",16,4,1,0,1,,3,4,859.76,clair,eu-w3,A,,7,19035,1
CLI-001522,12/08/2023,samedi,Éducation,France,PME, Starter ,18,58,0,"0,0",0,0.0,8,0,0,35,0,18.6,5,,754.63,bleu,ap-s1,A,Faible adoption des sièges.,45,18564,0
CLI-000621,2023-04-06,jeudi,Industrie,France,pme,Pro,22,57,24,42.1,14,10.0,16,3,3,2,9,16.8 h,3,1,1389.36 €,sombre,us-e1,A,,60,20507,0
CLI-000436,14 Feb 2024,mercredi,Public,France,TPE,Business,12,5,1,"20,0",1,,26,4,2,13,0,3.0 h,5,1,223.14 €,clair,eu-w3,A,Faible adoption des sièges.,33,3294,1
CLI-004998,12 Aug 2023,samedi,Tech,France, ETI ,Pro,18,63,56,88.9,87,95.7,16,9,5,0,2,,5,0,1671.69,clair,eu-w1,A,,75,64427,0
